TEAM NAMES,Series Number,Filename,Name,Description,Gender,Attributes,UUID,Hash
,83,tayo-tailor,tayo tailor,A professional fashion designer.,Male,hair: black; eyes: black; teeth: none; clothing: orange shirt; accessories: glasses; expression: inquisitive; strength: creativity; weakness: opinionated,70828783-ac38-48cf-b966-cfebc92ebd86,b7b64ece2489db1615dfe9dfcfe5155e055aee3135e7767f4dd170d4d637d6a4
,84,ajasco-comedian,ajasco comedian,A newbie comedian.,Male,hair: black; eyes: black; teeth: none; clothing: green shirt; accessories: glasses; expression: bold; strength: optimistic; weakness: unobservant,8bebdb3a-f0a8-47ba-892f-39aa275fbd0d,eed5de1e97f38ab5e7f9eea6a0e27da4c68604e988555d35956d717ea11a63b4
,85,tobi-babyboy,tobi babyboy,A guy who does not like stress.,Male,hair: black; eyes: black; teeth: none; clothing: white shirt; accessories: glasses; expression: friendly; strength: outgoing; weakness: lacks boundaries,3da592d4-5dec-4bc5-8412-f1b2a0269f95,e65d365ab7a6e04a711e2b9ca2cb2dff264720c8b0f789774b6cac96b239967f
,86,esther-sassy,esther sassy,A rude lady.,Female,hair: brown; eyes: grey; teeth: none; clothing: animal print; accessories: necklace and earrings; expression: bold; strength: confident; weakness: judgemental,0642a25a-966d-446f-b021-a6d18e7fa0c5,b97010297fc2d309e87a2425792466fbaa9de9d441779f446ce06743a6c9f976
,87,ozo-fineboi,ozo fineboi,A charming person.,Female,hair: brown; eyes: blue; teeth: none; clothing: aztec print blouse;  accessories: choker and hookah; expression: blank; strength: charismatic; weakness: proud,f2286b4d-fae6-48cb-a686-badec16da1d8,9bc2ab0164b43c9f1f640bd874f0c100a74e13cdb36cdfba9a7ddc47668d4dc6
,88,ade-party-girl,ade party girl,The life of every party.,Female,hair: brown; eyes: blue; teeth: gap-tooth; clothing: one sleeved blue top; accessories: none; expression: scary; strength: adventurous; weakness: impulsive,7e3db30c-9faf-430d-ab48-b854fe0456b9,3ab201ffa6ef55a42f1401c9379698be20e1d8276c4edec03fa40e1073fefffe
,89,john-casco,john casco,A very observant person.,Female,hair: black; eyes: blue; teeth: none; clothing: one-sleeved ankara top; accessories: earrings and necklace;  expression: shocked; strength: unpredictable; weakness: loner,2eff88ef-5bc2-4779-917a-533e952e2953,f0883561805cc010a5e1bcc391784803667ea137218dc9756f927dbfd93ef8c6
,90,agha-uwa,agha uwa,A woman of high social class.,Female,hair: brown; eyes: blue; teeth: none; clothing: ankara top with strap and full sleeve; accessories: earrings; expression: sad; strength: daring; weakness: loner,8478a002-1eba-4a05-8b98-7170c6e39254,47ed17d229914d7f20cd2bedf9afd429fee48946fc8abe778aefa9b56353f32c
,91,udeme-great,udeme great,A lady given to adventures.,Female,hair: purple; eyes: black; teeth: none; clothing: ankara top with blue sleeves; accessories: green necklace and green earrings; expression: clueless; strength: decisive; weakness: stubborn,d1476409-6f8b-4be9-8c93-24d9123749c5,82c945b0feb370aed6b473dbba3ded4b424353c866d625b769831642cd891961
,92,femi-tech-bro,femi tech bro,A rookie in the tech industry.,Female,hair: brown; eyes: black; teeth: none; clothing: ankara top with blue suspenders; accessories: green necklace; expression: mischievous; strength: creativity; weakness: procastination,ba3ec22a-13d5-4e19-9b7f-aac764fda28c,ab977da6bc46e9656e1a4f7122804dc8c5df74dd79faa2684b26541d90d62290
,93,sai-baba,sai baba,A leader of a third-world country.,Female,hair: brown; eyes: black; teeth: none; clothing: off-shoulder ankara top; accessories: earrings and necklace; expression: anxious; strength: trend spotter; weakness: distracted easily,fdfff369-5b57-4612-9f89-f5d408f24a35,f59dffbf7adb70001218260ca06ae7791b4598b2501d15987b25773ca7291593
,94,omo-pastor,omo pastor,A devout christian.,Female,hair: brown; eyes: black; teeth: none; clothing: spaghetti strap ankara top; accessories: green earrings and green necklace; expression: happy; strength: happiness; weakness: too emotional,49e09559-61a6-41ff-811a-272721a7475c,0ebd188bcb65333af14d9218e0e18100d01c8bbee342e616dc783b6b1267f4aa
,95,obi-container,obi container,A rich South-Easterner.,Female,hair: brown; eyes: black; teeth: none; clothing: animal print top; accessories: green necklace; expression: surprised; strength: wealthy; weakness: risk taker,4b64cf48-94fa-4aed-8cf2-452974b48ee3,bfc248a33384814e11c527bcd365c2a18f67b8dfe7612bd275a5e1926f2712de
,96,erigga-international,erigga international,Superstar from South-South.,Female,hair: brown; eyes: black; teeth: none; clothing: half ankara; accessories: green necklace and red scrunchie; expression: curious; strength: talented; weakness: overconfident,3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c,07fd8ddb4eda2dc1c8ffc7cfe54c2eb251a1580fc39dfd9829916868d8180e8f
,97,ayo-web3-bro,ayo web3 bro,Someone with no actual knowledge of basic computer principles.,Female,hair: brown; eyes: blue; teeth: gap tooth; clothing: sleeveless ankara top; accessories: green necklace; expression: terrified; strength: tolerant; weakness: illiterate,c137ec2b-18cd-4c29-a194-af29ac9e6c1c,79fd058720573e57d604c5ae5aadf54b48d86d90ba73b6a8c917967168fbcfec
,98,phoebe-queen-bee,phoebe queen bee,A self-centred woman.,Female,hair: brown flowing hair; eyes: blue; teeth: none; clothing: ankara top; accessories: none; expression: blank; strength: attractive; weakness: gullible,1277e9c0-81dc-4747-89df-a9d2ae4fcf96,095b44646deda51ea9e07a902ab410ca1a060fbb9210e88b6ce1aeab184bfab5
,99,rachel-warri-babe,rachel warri babe,A highly disciplined woman.,Female,hair: red braids; eyes: white; teeth: none; clothing: yellow danshiki; accessories: none; expression: blank; strength: assertive; weakness: talkative,19e6af3b-ef2d-46ba-ba05-59fb612ebbee,ea99336f758ce933f75d9beeed3036af0c9ede785835b3e5134c24bbd1fa3772
,100,adun-preacher,adun preacher,A religious woman.,Female,hair: black short hair; eyes: blue; teeth: none; clothing: blue paisley print blouse; accessories: ankara bonnet and hookah;  expression: blank; strength: bold; weakness: fake,cc4dfedf-c343-48db-ad67-e39452ec2380,a4c9c0eb785fdf7c315bd58a6f2ff0a37ffe960b0a82ee29e25bec854122a527
TEAM CHISEL,101,adebola-omo-oba,adebola omo oba,Adebola loves soft life with her fathers wealth.,Female,hair: brown; eyes: opened; teeth: white; clothing: ankara print; accessories:none; expression: staring; strength: bold and outspoken; weakness: pride,fbf43611-f267-4cba-bf4b-a3ffdc122589,a1b3256a66d24e8f8a4c9ad80f1c24834c4473cbb7fb73206c7a4c3840bf2350
,102,chichi-the-dancer,chichi the dancer,Chichi loves dancing and party.,Female,hair: black; eyes: blue-opened; teeth: none; clothing: ankara print; accessories: none; expression: shocked; strength: dancing; weakness: lovergirl,e7c32b06-7022-49b4-bbe5-81e8c1d58583,86a4b80c1257fed12d061d5667577e8c8f78984d7f161993c429bf83f38211e9
,103,hammed-the-farmer,hammed the farmer,Hammed owns a farm with his family.,Male,hair: none; eyes: opened; teeth: none; clothing: brown and cream buba; accessories: nose mask; expression: innocent; strength: farming; weakness: drinking,e57d8985-599e-49da-8d62-fc16b7ac93f2,cbe554581b8a9bc73d5073e0ba2c8bdb0ce10d909e4750768da03b99e20831a3
,104,farida-the-tivlady,farida the tivlady,Farida is a beautiful Tiv woman.,Female,hair: brown; eyes: opened; teeth: none; clothing: ankara print; accessories: lipgloss; expression: cool; strength: cooking; weakness: multitasking,31d3e229-003e-43c8-ba82-38f49cf58ccb,7787f61b23d70cb5c3c4197865aa1d6c28be9afb297c64ab76e5c9ee4ae36bc5
,105,hannah-the-singer,hannah the singer,Hannah loves singing and belongs to choir.,Female,hair: blonde; eyes: opened; teeth: none; clothing: flower print dress; accessories: earrings; expression: angry; strength: singing; weakness: reading,281f5bd7-5282-458b-9811-e369980e7dee,7964996832e8adb176d99e33e82e4eab9bb8e1ad147d90b7307ff7c117397da6
,106,nonso-the-igbogirl,nonso the igbogirl,Nonso is a hardworking Igbo girl.,Female,hair: black; eyes: opened; teeth: none; clothing: leopard print blouse; accessories: none; expression: happy; strength: business; weakness: spending,5cfa76df-8376-4505-af12-78af24f108d6,afff5cdd4ab600ac422b81d37fb64e6c7c55b8347146ebb71f35dc3ea2f6a0cc
,107,shade-olori,shade olori,Shade loves soft life and makeup.,Female,hair: black; eyes: blue-opened; teeth: none; clothing: ankara print; accessories: none; expression: none; strength: makeup; weakness: sleeping,1a07ca73-d39b-43e9-a0f1-ef9f5e57d3a9,64a8c9f88f503ea2c1b185f8888447e61f76eb5616df76f6417a6e08f6cd7bcf
,108,quadri-the-teacher,quadri the teacher,Quadri is a devoted teacher that teaches mathematics.,Male,hair: none; eyes: opened; teeth: none; clothing: yellow on blue jean; accessories: nose mask; expression: none; strength: teaching; weakness: talking,d96a93e7-17a4-4efe-b09b-02185cc81ce8,abf53532c0f24f7b8f7782d52f8cc1269a44b9b01949f22bd1384f7de7f2a11c
,109,Ifeanyi-the-dj,Ifeanyi the dj,Ifeanyi is a music dj that performs at events.,Male,hair: none; eyes: opened; teeth: opened; clothing: animal print; accessories: red cap; expression: none; strength: mixing songs; weakness: none,030f665d-2cd7-4376-aef5-4030dad9f2d6,55ef674e72825a494adca4efd8356e84c662daffe66a0649825d60aac178ed49
,110,fayo-the-yorubademon,fayo the yorubademon,Fayo is a yoruba demon with excellent communication skills.,Male,hair: bald; eyes: opened; teeth: none; clothing: africa print; accessories: mask; expression: none; strength: determined; weakness: steals,e270e278-a9b5-408d-b527-d518239a997b,a227b9b84cc2653724a04e3bbd846785b4b36629936cc6498e0da373ddb69ccf
,111,nkechi-the-actress,nkechi the actress,Nkechi is an international actress that acts in hollywood.,Female,hair: purpule short hair; eyes: opened; teeth: none; clothing: native print; accessories: smoking; expression: rugged; strength: love; weakness: lie,34b1136d-00b1-4f29-8a03-5b02291d47d5,d02589723e03ee72d11e499024d7c575db4f7b54d5af5e547e7aece8f05fa21b
,112,hamzat-the-mallam,hamzat the mallam,Hamsat is a mallam doing burea de change for a living.,Male,hair: bald; eyes: opened; teeth: none; clothing: wrapper; accessories: none; expression: straight; strength: traditional; weakness: diabolic,592eff9f-93b2-4452-a2ed-5d44ebc969db,3de95e690ab2338dbccd3230e9d7e9ef6e0d55c69405fdd7d1dd656cb73fabb5
,113,nnena-pretty-girl,nnena pretty girl,Nnena is beautiful girl that loves to talk about her beauty.,Female,hair: brown bob marley; eyes: open; teeth: covered; clothing: african print; accessories: sucker; expression: none; strength: giver; weakness: possesive,d9477612-ad63-408e-8d12-24679c647b32,07e5b296ed334d1befd06e0778724937a2a8f95373ec955dec60e2a4526697ef
,114,tunde-the-boss,tunde the boss,Tunde is a boss that loves to take charge at work.,Male,hair: capped; eyes: opened; teeth: white; clothing: native cloth; accessories: none; expression: none; strength: cooks well; weakness: bossy,7635c4ee-04f6-4872-bfc9-37e5a73c8fc6,8be0670ed50ef93f4786803d1f5a909c529ccec751f87d235a4cd496376cbc2d
,115,nnamdi-the-barber,nnamdi the barber,Nnamdi is a barber that devotes time to perfect his craft.,Male,hair: brown afro; eyes: open; teeth: smokey; clothing: africa print; accessories: none; expression: none; strength: determined; weakness: loves clubbing,152758f3-9414-45a2-a809-95cb05a3de13,e92ac65253118339de83cf956c12ce5e573e6f04c55b5f9272f1af2113b1cdb3
,116,amaka-the-hypepriestess,amaka the hypepriestess,Amaka is can never be intimidated no matter the circumstance. ,Female,hair: black hair; eyes: opened; teeth: open teeth; clothing: africa print; accessories: none; expression: laughing; strength: independent; weakness: insultive,c7726e84-3c5c-4e66-8677-cbfb5c9ee850,63ee8399a7fd40c8c01848a9e9e6a3c3808da2f53c9ad753868a751d591ddca7
,117,kemi-foodie,kemi foodie,Kemi loves food and can also prepare good meals. ,Female,hair: black har with scarf; eyes: partly opened; teeth: none; clothing: one hand style; accessories: none; expression: none; strength: can cook very well; weakness: dirtiness,3116cb6f-14c4-4d5a-af57-54253b72a309,17885d1c50a0ea0978e76daea7f40e1c62e9daadda7ec5140da948437f3bc561
,118,ada-the-fashionister,ada the fashionister,Ada loves fashion that she rarely repeats cloths.,Female,hair: brown afro; eyes: glasses; teeth: white; clothing: africa print; accessories: none; expression: smiling; strength: successful; weakness: too serious,a14df1c1-7a5a-4a33-8780-0fb01c593da6,de42261f61936646973abdae95ed1f921cc9ab078f37bc94402527f20edf8ffc
,119,kayode-the-baller,kayode the baller,Kayode loves life and lives it.,Male,hair: bald; eyes: wide opened; teeth: none; clothing: yellow on jeans; accessories: none; expression: none; strength: swaggy; weakness: loves women,fe17bfdc-c251-4654-8313-1ab793e11748,95636f97c840a0db5781975d0d85150cf4475f76c511d528044fcd69c89e6c8b
,120,kola-of-lagos,kola of lagos,Kola is the life of the party everywhere he is.,Male,hair: bald; eyes: opened; teeth: none; clothing: native; accessories: none; expression: none; strength: intelligent; weakness: shy,df295be1-1509-406e-a263-28a5dee0abca,5eae615d86f8c54d655aeb6334319680abe7e8b7a178f6de9c58425bfb1a7b21
TEAM BRAINBOX,121,azikiwe-popular-trader,azikiwe popular trader,Azikiwe is a popular trader.,Male,hair: none; eyes: blue; teeth: none; clothing: purple and yellow; accessories: cap; expression: happy; strength:strong; weakness: shy,7ebde325-8efc-4997-811a-b5686269929e,00232c44e57c592fa2debcd50619cef9cffbb98e2fb271d8eb91ab3cb2746f25
,122,obasanjo-funny-guy,obasanjo funny guy,Obasanjo is such a sweet guy loves by all. ,Male,hair:none ;eyes: black; teeth:small open teeth; clothing: sleeveless yellow ankara; accessories:none; expression: serious face; strength:mild; weakness:anger,c136a120-a339-4080-96ca-1c93845c5848,0c1128ae951a6821ff3ab284712863937b5ffa094332dbc459e33fc7b5e39c5b
,123,yakubu-village-chief,yakubu village chief,Yakubu is the best village chieftain.,Male,hair:none ;eyes: blue; teeth:open white teeth; clothing: black isiagu; accessories:cap; expression:happy; strength:strong; weakness:impatience,5b0c0d26-d204-4264-b579-081ff9df935b,11b6d6e1234edb444371b6d9e7af33b3644ba9eba923b55d3fac3c3f61422ef4
,124,abacha-loves-smoking,abacha loves smoking,Abacha loves taking cigarettes.,Male,hair:cute braided hair ;eyes: black ball white eye; teeth:none; clothing: mixed colors ankara wear; accessories:none; expression:happy;  strength:strong;  weakness: anger,8ac6d95f-0cf3-4f54-9cf2-be8834b3004c,4c27c3d44a5500daed97a360e50e3503680e468c4dc0a5c8951250ee755ae8b7
,125,johnathan-good-leader,johnathan the humanitarian ,Johnathan is very progressive young man.,Male,hair:punk bearded man ;eyes: closed; teeth:none; clothing: white shirt and senator; accessories:cap; expression:bone face; strength:strong; weakness:pride,241e3713-4ce3-48d0-827f-b282ae2db6c4,3dc34be1f9b9857a956cf2387b3e465190c6f729d26585fe3fd8bfc67d91bb94
,126,johnathan-genz-kid,johnathan genz kid,Johnathan is zealous young man.,Male,hair:none ;eyes: blue;teeth: white; clothing: yellow ankara wear; accessories: traditional cap; expression:happy; strength:strong; weakness:arrogance,90c0ae09-a35f-42ad-b93c-dcf30169acd9,48b990c90edc3c4655a8e1651bb377da3a7c5db0f6236dee10ec5094fde90170
,127,eddy-the-community,eddy the community leader,Eddy has so much positive energy.,Male,hair:none ;eyes: blue; teeth:none; clothing: black isiagu wear; accessories: cap; expression: happy; strength: strong; weakness:emotional,5cabf9d9-882b-459e-9253-8c07eb045e2d,8028ae4c5af57a48b668da25c603cc3b374446061e1621b1a29da2e577841b23
,128,olu-the-oba,olu the oba,Olu the great ruler in our land.,Male,hair: purple braided hair ;eyes: black; teeth: none; clothing: mixed color traditional wear; accessories: none; expression: serious face; strength:mild; weakness:anger,04c4b28a-aca0-44b1-a064-ed0d9d2a31ca,3a4c865dadf7924ba50e6b7b9ca9c4149fb4a8022f06e04364bdda3fc0a0e965
,129,edu-the-biggest-trader,edu the biggest trader,Edu is the biggest merchant in west coast.,Male,hair:none ;eyes: blue; teeth:closed; clothing: black and yellow collar native wear; accessories:cap; expression:happy; strength:strong; weakness:impatience,48d1de5f-5f3f-46aa-b2fd-68420a8e802b,3e5e35e948489018fee767bf28e3c68b893eb84292fa8c40ecdcb2da5f291fb1
,130,james-importer-and-exporter,james importer and exporter,James is the sole importer and exporter of spare parts.,Male,hair:none ;eyes: blue; teeth:none; clothing: purple and yellow; accessories:cap; expression:happy; strength:strong; weakness:pride,22541251-022f-480c-8c1e-cf754dce16d6,dfb6e5ce33cf303ddde4a1dd30d4285907e26f723907929d13dfdc6296246ccd
,131,lanre-the-dreaded-guy,lanre the dreaded guy,Lanre has a great reputation.,Male,hair: none ;eyes: none; teeth:white; clothing: ankara; accessories:cap; expression: happy; strength:strong; weakness:anger,66a054cd-5541-4000-98aa-8f2e9892d880,7657a62ee05e30939ba41a0a9564c6e863734bd324a6d3085ecc4d5c00a88442
,132,olamide-the-street-boy,olamide the street boy,Olamide has a sweet voice.,Male,hair:none ;eyes: white; teeth: none; clothing: green and blue; accessories: cap; expression: serious face; strength:strong; weakness:stubborn,d50a35b1-b42e-4e0c-8dd8-9b892b56d371,a08fe9fca126ed53bc6ac865a63fb4593ccf0af5996a20d59ce6d6e174f74498
,133,uche-peace-loving-man,uche peace loving man,Uche man of peace and discipline.,Male,hair: yellow ;eyes: blue;teeth:none; clothing: yellow; accessories:none; expression:happy; strength:strong; weakness:emotional,6c9d6eae-2ea2-468c-a2c8-928aaafc084b,814270832b3a270c1327174f0b69c9e249fa83183346c07e26b4783baeed95aa
,134,dave-the-tech-bro,dave the tech bro,Dave is a web3 enthusiast.,Male,hair: none ;eyes: none; teeth:white; clothing: none; accessories:cap; expression: serious face; strength:strong; weakness:none,c0857b11-bf0e-46a4-9108-b8eb93d83e74,13e176dc84e7abb5477af49c45a27baefb09531a32c01734ecf0f8c9acf659e1
,135,obi-the-biggest-humanitarian,obi the biggest humanitarian,Obi loves service to humanity.,Male,hair:none ;eyes: blue; teeth:white; clothing: brown; accessories:cap; expression:happy; strength: strong; weakness:none,201a408c-7a2e-42d9-a62c-0136c885c211,e38591b86ac5e368cbd7460073dab30a8bf5bf5f685f75d0c48f35ad7f8023b8
,136,precious-the-emotional-girl,precious the emotional girl,Precious is soft hearted and sensitive.,Female,hair:none ;eyes: white; teeth: white; clothing: yellow and blue; accessories:cap; expression:angry; strength:strong; weakness:none,b6a41ff1-51ce-42f7-9933-85d0a22ced68,061d48f7d02691202403fcfa9a83b26b9b3aee57556122909b57dc522fbbe41d
,137,ella-serious-minded,ella serious minded,Ella a dedicated young lady.,Female,hair: none ;eyes: white;teeth: white; clothing: black and yellow; accessories:cap; expression:happy; strength:strong; weakness:none,04036447-f43e-4bfb-9503-f55c9064b14e,4ee6a304e2ff674853db5d7e061d7da23e37645a1ebb5f38ad6205f23c304b15
,138,cynthia-cute-eyes,cynthia cute eyes,Cynthia with priceless cute eyes.,Female,hair:yellow ;eyes: blue;teeth:none; clothing: blue and yellow; accessories: none; expression: serious face; strength: mild; weakness:pride,5d12847b-6d71-4691-8337-2e6ef3e283b2,0cc4daa382fd43bfdd2a1eeefaa9e97cf51373daa1395c22dba8c690b4d517d2
,139,mary-with-hair,mary with hair,Mary with her beautiful Afro.,Female,hair: none;eyes: none;teeth:none; clothing: casual ankara; accessories:cap; expression:scared; strength:sensitive; weakness: fearful,98035e8b-6540-4464-8a3c-fdac9f07b168,498120950ca36925dbadfade6e36ec5a478bc7ba484c942949fadadc76a60723
,140,ada-chewing-bubble-gum,ada chewing bubble gum,Ada always chewing gum.,Female,hair: none;eyes: none;teeth: white; clothing: traditional wear; accessories:cap; expression:sassy; strength:decisive; weakness: insensitive,15309dc5-e483-4658-b503-db85ba2c1722,9ee02fbec7e39cf28698a6231a4b09c86c090092078d3a52d432da9c4907ee70
TEAM PLUG,141,viganem-the-drummer-girl,viganem the drummer girl,She is known for typically playing the drum for 5 hours per day without a break.,Female,hair: none; eyes: none; teeth: none; clothing: ankara with drum patterns; accessories: none; expression: sumg; strength: none; weakness: none,5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4,4514869fbfc6b3813ba1e255c1505f8cf4ab1ac4eb55f9f223613f3af934ac3b
,142,lenusuka-the-big-woman,lenusuka the big woman,The lady that loves spending money and buying everybody asaobi.,Female,hair: purple; eyes: none; teeth: none; clothing: black and blue ankara; accessories: none; expression: serious; strength: none; weakness: none,e564a43a-ef77-487d-a88e-749d20a09fd8,0d16eede17a86039093c7373448c8985628c58101f367d60deb970a0c1f8f2fa
,143,enepua-the-clout-queen,enepua the clout queen,The lady that travels all day and enjoys snapping food at restaurants.,Female,hair: purple; eyes: none; teeth: none; clothing: black ankara with yellow and blue gear pattern; accessories: none; expression: chill; strength: none; weakness: none,6dc7e452-0626-4f4c-a28c-f5db3532e305,0186bc96bf533bd8673a31dea3c3c1da374389743c5b2f186136acbcc3f3b97e
,144,usifong-queen-of-mushin,usifong queen of mushin,Changes her hair every 2 weeks and cannot finish one pure water.,Female,hair: brown afro; eyes: none; teeth: none; clothing: black ankara with yellow peach and blue gear pattern; accessories: none; expression: unbothered; strength: none; weakness: none,221263d0-8775-49f8-bbf8-4b08b49e1482,2b04147aad95997001663687d06d33d9b038523332d0b9b72f758ce4bc977206
,145,akinyim-the-clown,akinyim the clown,"The most interesting christmas clown, known for dancing in prisons and hospitals on christmas eve.",Female,hair: burgundy dreadlocks; eyes: none; teeth: none; clothing: kente blouse with asymmetric neckline; accessories: none; expression: off-standish; strength: none; weakness: none,c1070dce-48a1-4ae8-b9a4-d070859a8377,f2ee48c864e17097b808c9369d439648ea7cf4fdbc9547472ccb043d604702ec
,146,zawadi-mr-sleep-everywhere,zawadi mr sleep everywhere,Likes sleeping in the weirdest places especially in clubs.,Male,hair: brown; eyes: none; teeth: none; clothing: kente agbada; accessories: none; expression: goofy; strength: none; weakness: none,c22489fe-574b-47f3-9667-c9c798b2d4df,b04e05f1b3399f1b4ad01ca0b30f9d04ecf11f3aaa48b994d3a72791f0977f4b
,147,chepkirui-mr-self-love,chepkirui mr self love,Likes taking care of himself and spending on himself.,Male,hair: burgundy; eyes: none; teeth: none; clothing: black and kente patterned agbada; accessories: none; expression: sleepy; strength: none; weakness:none,1a91e778-d214-476b-a667-94e9ecb8b5ce,cc3ca2d02d74a29191aaa2c257825f46ac48bd40465cc7394e6b171f8115d685
,148,naserian-the-fear-fear-dancer,naserian the fear fear dancer,A timid and dancer who is always afraid of a large crowd of audience and yet his dance moves can raise the dead.,Male,hair: face; eyes: none; teeth: none; clothing: yellow and blue ankara; accessories: none; expression: warm; strength: none; weakness: none,8177cf38-8284-4eb4-b19c-04473bcb3b5e,dd6d67df097c3c3339b1e99bcc745bf96a64a77a52516ac8c676fed935387f6a
,149,wawuda-the-ashawo-of-africa,wawuda the ashawo of africa,Brags about his body count and follows skirt anywhere.,Male,hair: blue; eyes: none; teeth: none; clothing: green top with blue overalls; accessories: none; expression: fear; strength: none; weakness: none,0554bf35-f588-4009-aafc-ef875b878c29,f698ddbb33379702bae18a0b9b9f305c4fec3850bbf3707a8ecb6447eaa90367
,150,kerubo-the-igbo-smoker,kerubo the igbo smoker,Loves only his igbo and is happy when he finds an old blunt.,Male,hair: brown; eyes: none; teeth: none; clothing: brown shirt with dog pattern; accessories: none; expression: smirking strength: none; weakness: none,33ba8e73-7949-4bc7-ba27-37ee1d573946,65f9bd74d8fb04a362408f6dc392942b545087e5d16e1d31d3088c5fb476f4e1
,151,rehema-the-olodo,rehema the olodo,Failed primary 5 eight times and like playing football after school.,Male,hair: teal; eyes: none; teeth: none; clothing: purple shirt with yellow accent; accessories: none; expression: euphoric; strength: none; weakness: none,1fb33783-4898-48cf-8a73-f81afc71e1a8,0cf2e39240e5ea42027145c682256eae9dbf67820ad8e8abc034e36528362788
,152,nekesa-the-brainbox,nekesa the brainbox,A proposed elite who cannot write a simple speech.,Male,hair: black; eyes: none; teeth: none; clothing: monostrap black ankara with yellow and red patterns; accessories: none; expression: playful; strength: none; weakness: none,7ba909bd-19a1-454d-a86c-a45e85cb94a6,402eb31de11cc9b52749170bea18542d1f528d4e2392f8aed8ecac724f5b7ae1
,153,kiokoli-the-slowrunner,kiokoli the slowrunner,Always running in every race but never making it to the first 5.,Male,hair: black; eyes: none; teeth: none; clothing: maroon agbada with yellow accents; accessories: none; expression: clueless; strength: none; weakness: none,d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba,c347b344c4b7cd558b163f16bc42f26b52c1c42f90bae51ca955863ddbf8e91f
,154,adjuani-uncle-wire-wire,adjuani uncle wire wire,Mugu money spender that loves spending on women extravagantly.,Male,hair: red; eyes: none; teeth: none; clothing: plain and patterned ankara shirt; accessories: none; expression: anxious; strength: none; weakness: none,36cd959f-d280-41f6-af76-765715c72527,d4b949f0de5472c35eb38c0ab4117f88978d365f9c678f9ec6bc27dfd1d3e18c
,155,ajobaru-a-creative-artist,ajobaru a creative artist,A lovely artist who is known for creating magical art pieces that can spark a smile.,Male,hair: black; eyes: none; teeth: none; clothing: yelow kente shirt; accessories: none; expression: cheerful; strength: none; weakness: none,9d262f55-73d7-4b95-9a82-42356dbb085c,383db8d64096b1eec4872686d3d8c6bf45cdf88ec027b7cd932575af33a659c0
,156,effiadem-the-fireman,effiadem the fireman,A retired military general who always loves shooting at sight.,Male,hair: brown; eyes: none; teeth: none; clothing: black and kente agbada; accessories: none; expression: high; strength: none; weakness: none,a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64,ae1df21185f2606c48b1e1e969d57273870eae4b00a232dc7f15d23cbdafbf43
,157,deladem-the-commandoo,deladem the commandoo,The nerd who has watched all war movies but cannot fight a kid.,Male,hair: burgundy; eyes: none; teeth: none; clothing: black and kente agbada; accessories: none; expression: none; strength: none; weakness: none,88106b92-da30-46ad-a3cc-d528683b9e33,44dd11c382ed6c46a2b5427c16a20382bf2301c4897bf3fbdc9022afcb138b25
,158,dogbeda-the-monger,dogbeda the monger,A fisherman who pracitically live in the river.,Male,hair: orange;  eyes: none; teeth: none; clothing: orange and blue denim; accessories: none; expression: unbothered; strength: none; weakness: none,66a09968-cb92-4378-a588-49947f68c537,dbfaf96fa3debe98ae65c85f40d597038818630d1c2aa166cfe44f583329ef0c
,159,enyonyam-our-slay-mama,enyonyam our slay mama,Posts new pictures everyday and can snub for africa.,Male,hair: blue; eyes: none; teeth: none; clothing: green top with overall; accessories: none; expression: none; strength:none; weakness: none,5e7c7f9d-d631-4759-9b27-cbaccd33d39f,585068b3447f4450e4bf0e8b37fda939af197a9cc980d9adaaddaed777ae4fab
,160,lumusi-pro-technician,lumusi pro technician,The electrician well known for wiring burnt buildings.,Male,hair: red; eyes: none; teeth: none; clothing: white top with blue overalls; accessories: none; expression: high; strength: none; weakness: none,b07676a6-c611-410d-8426-46c9c525189a,560374bcccd2962935bd9f7f4b73addda92774a9466215d46219bb8f5a96d912
TEAM HEADLIGHT,161,funmi-the-fashionist,funmi the fashionist,Funmi enjoys fashion and she always takes opportunity to showcase her wardrobe.,Female,hair: black hair; eyes: none; teeth: none; clothing: aso oke; expression: cool; accessories: head tye and eye glasses; strength: fashion; weakness: men,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,a92c71245bfc48595ba26c5db3382348952cf4b26d06a0005cd23d663122d668
,162,bola-the-funky,bola the funky,Bola is a funky fellow but she has another personality no one knows.,Female,hair: purple shuku; eyes: none; teeth: none; clothing: adire top; expression: neutral; accessories: eye glasses; strength: caring; weakness: snake,ac721b71-cbc5-425c-851f-ee826973f0b9,17f8127bf6282dfc6280d0e8dca85d0395b2bd5e5697586eba80fb44f5eef210
,163,bimpe-the-runzgirl,bimpe the runzgirl,Be careful with Bimpe because she cac be sensitive.,Female,hair: purple dreadlock; eyes: none; teeth: none; clothing: one arm ankara; expression: mischievious; accessories: eye glasses; strength: humanitarian; weakness: opposite sex,eaa7662f-6926-468a-9add-e791916ae42b,d47644b0c511c2dd992b0bf0103e4f958545811ef0ab3bc5c433dd809a78d168
